State,Year,Percent (%) of Labor Force Unemployed in State/Area,Incident
Connecticut,2004,5.09,75.0
Connecticut,2005,4.8,107.0
Connecticut,2006,4.42,82.0
Connecticut,2007,4.45,83.0
Connecticut,2008,5.65,105.0
Connecticut,2009,8.33,64.0
Connecticut,2010,9.56,99.0
Connecticut,2011,9.02,91.0
Connecticut,2012,8.36,186.0
Connecticut,2013,7.95,90.0
Connecticut,2014,6.62,74.0
Delaware,2004,4.3,20.0
Delaware,2005,4.51,25.0
Delaware,2006,3.91,35.0
Delaware,2007,3.61,31.0
Delaware,2008,5.03,44.0
Delaware,2009,8.34,31.0
Delaware,2010,8.66,43.0
Delaware,2011,7.61,44.0
Delaware,2012,7.07,48.0
Delaware,2013,6.61,23.0
Delaware,2014,5.61,37.0
District of Columbia,2004,8.08,64.0
District of Columbia,2005,6.99,0.0
District of Columbia,2006,6.32,13.0
District of Columbia,2007,5.95,2.0
District of Columbia,2008,6.85,0.0
District of Columbia,2009,10.0,393.0
District of Columbia,2010,9.95,382.0
District of Columbia,2011,10.19,247.0
District of Columbia,2012,8.98,0.0
District of Columbia,2013,8.43,521.0
District of Columbia,2014,7.71,219.0
Florida,2004,3.75,297937.0
Florida,2005,2.88,280745.0
Florida,2006,2.47,374642.0
Florida,2007,3.3,340058.0
Florida,2008,5.69,347200.0
Florida,2009,9.56,348750.0
Florida,2010,10.82,370609.0
Florida,2011,10.0,380708.0
Florida,2012,8.67,369666.0
Florida,2013,7.53,297334.0
Florida,2014,6.43,285044.0
Georgia,2004,5.08,667.0
Georgia,2005,5.68,646.0
Georgia,2006,5.08,891.0
Georgia,2007,4.91,908.0
Georgia,2008,6.78,820.0
Georgia,2009,10.41,695.0
Georgia,2010,10.66,802.0
Georgia,2011,10.16,672.0
Georgia,2012,9.04,757.0
Georgia,2013,8.14,607.0
Georgia,2014,7.14,696.0
Hawaii,2004,3.29,49.0
Hawaii,2005,2.82,23.0
Hawaii,2006,2.55,26.0
Hawaii,2007,2.72,34.0
Hawaii,2008,4.03,35.0
Hawaii,2009,6.66,32.0
Hawaii,2010,6.82,41.0
Hawaii,2011,6.83,35.0
Hawaii,2012,5.9,29.0
Hawaii,2013,4.76,29.0
Hawaii,2014,4.23,14.0
Idaho,2004,4.87,36.0
Idaho,2005,3.99,38.0
Idaho,2006,3.42,28.0
Idaho,2007,3.02,50.0
Idaho,2008,5.03,17.0
Idaho,2009,8.71,20.0
Idaho,2010,8.76,23.0
Idaho,2011,8.17,32.0
Idaho,2012,7.4,25.0
Idaho,2013,6.82,31.0
Idaho,2014,4.38,25.0
Illinois,2004,6.18,4830.0
Illinois,2005,5.72,4110.0
Illinois,2006,4.6,4077.0
Illinois,2007,5.07,3747.0
Illinois,2008,6.51,3782.0
Illinois,2009,10.18,2922.0
Illinois,2010,10.47,2640.0
Illinois,2011,9.76,2941.0
Illinois,2012,9.05,3251.0
Illinois,2013,9.08,2623.0
Illinois,2014,7.17,2676.0
Indiana,2004,5.4,548.0
Indiana,2005,5.39,528.0
Indiana,2006,5.0,679.0
Indiana,2007,4.62,584.0
Indiana,2008,5.94,476.0
Indiana,2009,10.43,410.0
Indiana,2010,10.08,538.0
Indiana,2011,8.91,402.0
Indiana,2012,8.22,840.0
Indiana,2013,7.5,1270.0
Indiana,2014,5.95,1682.0
Iowa,2004,4.52,38.0
Iowa,2005,4.29,37.0
Iowa,2006,3.7,46.0
Iowa,2007,3.72,37.0
Iowa,2008,4.18,73.0
Iowa,2009,6.4,40.0
Iowa,2010,6.12,32.0
Iowa,2011,5.65,47.0
Iowa,2012,5.06,42.0
Iowa,2013,4.73,44.0
Iowa,2014,4.23,67.0
Kansas,2004,5.51,90.0
Kansas,2005,5.07,94.0
Kansas,2006,4.42,200.0
Kansas,2007,4.23,183.0
Kansas,2008,4.61,127.0
Kansas,2009,6.89,142.0
Kansas,2010,6.93,108.0
Kansas,2011,6.38,131.0
Kansas,2012,5.72,123.0
Kansas,2013,5.3,111.0
Kansas,2014,4.51,114.0
Kentucky,2004,5.5,407.0
Kentucky,2005,5.88,345.0
Kentucky,2006,5.72,271.0
Kentucky,2007,5.37,422.0
Kentucky,2008,6.52,356.0
Kentucky,2009,10.77,251.0
Kentucky,2010,10.27,218.0
Kentucky,2011,9.38,179.0
Kentucky,2012,8.2,234.0
Kentucky,2013,7.92,196.0
Kentucky,2014,6.42,257.0
Los Angeles County,2004,6.47,0.0
Los Angeles County,2005,5.32,0.0
Los Angeles County,2006,4.79,0.0
Los Angeles County,2007,5.12,0.0
Los Angeles County,2008,7.57,0.0
Los Angeles County,2009,11.74,0.0
Los Angeles County,2010,12.56,0.0
Los Angeles County,2011,12.24,0.0
Los Angeles County,2012,11.0,0.0
Los Angeles County,2013,9.78,0.0
Los Angeles County,2014,8.26,0.0
Louisiana,2004,5.7,881.0
Louisiana,2005,7.06,722.0
Louisiana,2006,4.13,902.0
Louisiana,2007,4.09,1388.0
Louisiana,2008,4.67,469.0
Louisiana,2009,6.79,810.0
Louisiana,2010,7.52,933.0
Louisiana,2011,7.43,812.0
Louisiana,2012,6.77,776.0
Louisiana,2013,6.42,600.0
Louisiana,2014,6.25,901.0
Maine,2004,4.66,17.0
Maine,2005,4.89,18.0
Maine,2006,4.72,23.0
Maine,2007,4.69,24.0
Maine,2008,5.4,27.0
Maine,2009,8.39,23.0
Maine,2010,8.42,25.0
Maine,2011,7.72,36.0
Maine,2012,7.19,31.0
Maine,2013,6.68,32.0
Maine,2014,5.56,26.0
Maryland,2004,4.62,1470.0
Maryland,2005,4.48,1187.0
Maryland,2006,4.18,1205.0
Maryland,2007,3.73,1209.0
Maryland,2008,4.52,763.0
Maryland,2009,7.55,1097.0
Maryland,2010,7.82,951.0
Maryland,2011,7.32,684.0
Maryland,2012,6.87,957.0
Maryland,2013,6.52,1017.0
Maryland,2014,5.73,897.0
Massachusetts,2004,5.11,137.0
Massachusetts,2005,4.8,153.0
Massachusetts,2006,4.7,188.0
Massachusetts,2007,4.52,156.0
Massachusetts,2008,5.33,113.0
Massachusetts,2009,8.08,126.0
Massachusetts,2010,8.06,246.0
Massachusetts,2011,7.22,161.0
Massachusetts,2012,6.7,89.0
Massachusetts,2013,6.64,111.0
Massachusetts,2014,5.74,94.0
Michigan,2004,6.95,1215.0
Michigan,2005,6.79,2562.0
Michigan,2006,7.03,3139.0
Michigan,2007,7.08,2982.0
Michigan,2008,8.22,1683.0
Michigan,2009,13.13,2500.0
Michigan,2010,12.19,1877.0
Michigan,2011,10.01,2670.0
Michigan,2012,9.06,3156.0
Michigan,2013,8.72,2492.0
Michigan,2014,7.23,2458.0
Minnesota,2004,4.58,161.0
Minnesota,2005,4.1,149.0
Minnesota,2006,4.06,159.0
Minnesota,2007,4.58,148.0
Minnesota,2008,5.43,101.0
Minnesota,2009,7.91,84.0
Minnesota,2010,7.39,108.0
Minnesota,2011,6.52,84.0
Minnesota,2012,5.65,125.0
Minnesota,2013,5.04,129.0
Minnesota,2014,4.27,91.0
Mississippi,2004,6.16,197.0
Mississippi,2005,7.6,203.0
Mississippi,2006,6.38,168.0
Mississippi,2007,6.15,176.0
Mississippi,2008,6.71,231.0
Mississippi,2009,9.36,151.0
Mississippi,2010,10.08,167.0
Mississippi,2011,9.78,225.0
Mississippi,2012,8.83,220.0
Mississippi,2013,8.49,131.0
Mississippi,2014,7.59,213.0
Missouri,2004,5.88,748.0
Missouri,2005,5.4,800.0
Missouri,2006,4.88,709.0
Missouri,2007,5.08,676.0
Missouri,2008,6.22,743.0
Missouri,2009,9.02,724.0
Missouri,2010,9.51,831.0
Missouri,2011,8.64,939.0
Missouri,2012,7.19,809.0
Missouri,2013,6.78,739.0
Missouri,2014,6.15,635.0
Montana,2004,4.51,26.0
Montana,2005,4.07,20.0
Montana,2006,3.34,16.0
Montana,2007,3.36,12.0
Montana,2008,4.73,25.0
Montana,2009,7.12,24.0
Montana,2010,7.18,21.0
Montana,2011,6.62,16.0
Montana,2012,5.8,23.0
Montana,2013,5.34,16.0
Montana,2014,4.67,32.0
Nebraska,2004,3.91,19.0
Nebraska,2005,3.76,14.0
Nebraska,2006,3.04,15.0
Nebraska,2007,2.92,27.0
Nebraska,2008,3.26,21.0
Nebraska,2009,4.66,52.0
Nebraska,2010,4.7,54.0
Nebraska,2011,4.4,91.0
Nebraska,2012,3.88,41.0
Nebraska,2013,3.68,106.0
Nebraska,2014,3.25,333.0
Nevada,2004,4.46,480.0
Nevada,2005,4.12,870.0
Nevada,2006,4.07,799.0
Nevada,2007,4.59,430.0
Nevada,2008,6.88,482.0
Nevada,2009,11.72,542.0
Nevada,2010,13.73,523.0
Nevada,2011,13.32,388.0
Nevada,2012,11.61,365.0
Nevada,2013,9.97,425.0
Nevada,2014,8.16,632.0
New Hampshire,2004,3.8,13.0
New Hampshire,2005,3.62,17.0
New Hampshire,2006,3.53,11.0
New Hampshire,2007,3.52,9.0
New Hampshire,2008,3.77,12.0
New Hampshire,2009,6.14,9.0
New Hampshire,2010,6.08,12.0
New Hampshire,2011,5.45,13.0
New Hampshire,2012,5.47,15.0
New Hampshire,2013,5.25,22.0
New Hampshire,2014,4.32,18.0
New Jersey,2004,4.92,553.0
New Jersey,2005,4.44,450.0
New Jersey,2006,4.62,406.0
New Jersey,2007,4.21,373.0
New Jersey,2008,5.45,324.0
New Jersey,2009,8.93,336.0
New Jersey,2010,9.66,480.0
New Jersey,2011,9.38,390.0
New Jersey,2012,9.38,368.0
New Jersey,2013,8.38,352.0
New Jersey,2014,6.73,425.0
New Mexico,2004,5.56,199.0
New Mexico,2005,5.18,175.0
New Mexico,2006,4.23,146.0
New Mexico,2007,3.59,190.0
New Mexico,2008,4.3,144.0
New Mexico,2009,7.05,185.0
New Mexico,2010,7.78,213.0
New Mexico,2011,7.22,155.0
New Mexico,2012,6.97,135.0
New Mexico,2013,6.91,168.0
New Mexico,2014,6.59,178.0
New York,2004,5.79,5101.0
New York,2005,4.96,4871.0
New York,2006,4.53,9190.0
New York,2007,4.43,5760.0
New York,2008,5.41,6659.0
New York,2009,8.37,4873.0
New York,2010,8.72,70841.0
New York,2011,8.36,5956.0
New York,2012,8.62,4153.0
New York,2013,7.79,3311.0
New York,2014,6.29,3190.0
New York city,2004,6.95,0.0
New York city,2005,5.63,0.0
New York city,2006,4.92,0.0
New York city,2007,4.85,0.0
New York city,2008,5.59,0.0
New York city,2009,9.26,0.0
New York city,2010,9.58,0.0
New York city,2011,9.13,0.0
New York city,2012,9.44,0.0
New York city,2013,8.81,0.0
New York city,2014,7.07,0.0
North Carolina,2004,5.86,455.0
North Carolina,2005,5.6,606.0
North Carolina,2006,5.13,561.0
North Carolina,2007,5.09,537.0
North Carolina,2008,6.21,542.0
North Carolina,2009,11.03,469.0
North Carolina,2010,10.72,456.0
North Carolina,2011,10.23,498.0
North Carolina,2012,9.52,499.0
North Carolina,2013,7.73,397.0
North Carolina,2014,6.11,423.0
North Dakota,2004,3.38,8.0
North Dakota,2005,3.31,11.0
North Dakota,2006,3.1,6.0
North Dakota,2007,3.02,10.0
North Dakota,2008,3.11,3.0
North Dakota,2009,3.92,8.0
North Dakota,2010,3.69,8.0
North Dakota,2011,3.36,17.0
North Dakota,2012,2.93,14.0
North Dakota,2013,2.89,11.0
North Dakota,2014,2.62,16.0
Ohio,2004,6.25,676.0
Ohio,2005,5.93,954.0
Ohio,2006,5.42,775.0
Ohio,2007,5.61,733.0
Ohio,2008,6.6,638.0
Ohio,2009,10.14,800.0
Ohio,2010,10.27,759.0
Ohio,2011,8.82,666.0
Ohio,2012,7.41,700.0
Ohio,2013,7.46,879.0
Ohio,2014,5.8,806.0
Oklahoma,2004,4.71,299.0
Oklahoma,2005,4.32,279.0
Oklahoma,2006,3.92,293.0
Oklahoma,2007,3.97,345.0
Oklahoma,2008,3.62,272.0
Oklahoma,2009,6.56,418.0
Oklahoma,2010,6.5,308.0
Oklahoma,2011,5.59,321.0
Oklahoma,2012,5.12,431.0
Oklahoma,2013,5.12,390.0
Oklahoma,2014,4.33,13130.0
Oregon,2004,7.34,123.0
Oregon,2005,6.19,95.0
Oregon,2006,5.39,102.0
Oregon,2007,5.16,84.0
Oregon,2008,6.28,81.0
Oregon,2009,10.79,92.0
Oregon,2010,10.69,105.0
Oregon,2011,9.61,98.0
Oregon,2012,8.81,118.0
Oregon,2013,7.75,86.0
Oregon,2014,6.64,92.0
Pennsylvania,2004,5.36,2656.0
Pennsylvania,2005,4.98,3129.0
Pennsylvania,2006,4.71,3859.0
Pennsylvania,2007,4.56,3433.0
Pennsylvania,2008,5.35,2635.0
Pennsylvania,2009,7.97,2984.0
Pennsylvania,2010,8.17,2539.0
Pennsylvania,2011,7.74,2560.0
Pennsylvania,2012,7.66,3107.0
Pennsylvania,2013,7.1,1783.0
Pennsylvania,2014,5.93,1284.0
Rhode Island,2004,5.25,0.0
Rhode Island,2005,5.11,0.0
Rhode Island,2006,5.22,0.0
Rhode Island,2007,5.11,0.0
Rhode Island,2008,7.6,0.0
Rhode Island,2009,11.39,0.0
Rhode Island,2010,11.62,0.0
Rhode Island,2011,11.02,0.0
Rhode Island,2012,10.22,0.0
Rhode Island,2013,9.48,0.0
Rhode Island,2014,7.77,0.0
South Carolina,2004,7.44,320.0
South Carolina,2005,7.29,341.0
South Carolina,2006,6.88,432.0
South Carolina,2007,6.07,374.0
South Carolina,2008,7.29,282.0
South Carolina,2009,11.41,299.0
South Carolina,2010,11.3,280.0
South Carolina,2011,10.45,335.0
South Carolina,2012,9.03,363.0
South Carolina,2013,7.42,299.0
South Carolina,2014,6.28,329.0
South Dakota,2004,3.61,15.0
South Dakota,2005,3.55,12.0
South Dakota,2006,3.0,9.0
South Dakota,2007,2.82,15.0
South Dakota,2008,3.08,26.0
South Dakota,2009,4.58,16.0
South Dakota,2010,4.91,23.0
South Dakota,2011,4.6,18.0
South Dakota,2012,4.06,9.0
South Dakota,2013,3.7,10.0
South Dakota,2014,3.33,23.0
Tennessee,2004,5.35,828.0
Tennessee,2005,5.52,1405.0
Tennessee,2006,5.28,1146.0
Tennessee,2007,4.63,1224.0
Tennessee,2008,6.52,1107.0
Tennessee,2009,10.12,1158.0
Tennessee,2010,9.83,758.0
Tennessee,2011,9.11,969.0
Tennessee,2012,7.96,1163.0
Tennessee,2013,7.72,921.0
Tennessee,2014,6.6,1002.0
Texas,2004,6.02,4067.0
Texas,2005,5.46,4659.0
Texas,2006,5.0,5389.0
Texas,2007,4.37,5697.0
Texas,2008,4.87,3707.0
Texas,2009,7.54,4814.0
Texas,2010,8.19,4483.0
Texas,2011,8.02,2923.0
Texas,2012,6.71,3516.0
Texas,2013,6.3,4250.0
Texas,2014,5.19,5785.0
Utah,2004,5.01,58.0
Utah,2005,4.04,56.0
Utah,2006,2.87,47.0
Utah,2007,2.56,57.0
Utah,2008,3.34,41.0
Utah,2009,7.26,33.0
Utah,2010,7.93,59.0
Utah,2011,7.06,54.0
Utah,2012,4.77,52.0
Utah,2013,4.21,41.0
Utah,2014,3.63,74.0
Vermont,2004,3.68,14.0
Vermont,2005,3.45,8.0
Vermont,2006,3.72,15.0
Vermont,2007,3.94,11.0
Vermont,2008,4.57,15.0
Vermont,2009,6.17,6.0
Vermont,2010,6.32,7.0
Vermont,2011,5.57,7.0
Vermont,2012,4.82,11.0
Vermont,2013,4.42,10.0
Vermont,2014,3.99,12.0
Virginia,2004,4.08,492.0
Virginia,2005,3.82,686.0
Virginia,2006,3.34,479.0
Virginia,2007,3.28,527.0
Virginia,2008,4.27,382.0
Virginia,2009,6.83,480.0
Virginia,2010,7.29,470.0
Virginia,2011,6.54,348.0
Virginia,2012,5.95,395.0
Virginia,2013,5.55,403.0
Virginia,2014,5.12,387.0
Washington,2004,6.3,199.0
Washington,2005,5.59,225.0
Washington,2006,5.0,189.0
Washington,2007,4.6,188.0
Washington,2008,5.29,158.0
Washington,2009,8.27,197.0
Washington,2010,9.13,166.0
Washington,2011,8.52,164.0
Washington,2012,7.64,223.0
Washington,2013,6.63,206.0
Washington,2014,5.92,212.0
West Virginia,2004,5.77,52.0
West Virginia,2005,5.42,74.0
West Virginia,2006,5.2,75.0
West Virginia,2007,4.82,54.0
West Virginia,2008,4.75,61.0
West Virginia,2009,8.3,64.0
West Virginia,2010,8.63,48.0
West Virginia,2011,7.82,79.0
West Virginia,2012,7.26,64.0
West Virginia,2013,6.72,51.0
West Virginia,2014,6.5,73.0
Wisconsin,2004,4.98,343.0
Wisconsin,2005,4.74,485.0
Wisconsin,2006,4.68,279.0
Wisconsin,2007,4.82,460.0
Wisconsin,2008,4.98,257.0
Wisconsin,2009,8.96,339.0
Wisconsin,2010,8.5,433.0
Wisconsin,2011,7.53,370.0
Wisconsin,2012,6.92,395.0
Wisconsin,2013,6.64,528.0
Wisconsin,2014,5.35,380.0
Wyoming,2004,3.84,11.0
Wyoming,2005,3.54,16.0
Wyoming,2006,3.01,7.0
Wyoming,2007,2.69,15.0
Wyoming,2008,2.93,79.0
Wyoming,2009,6.26,13.0
Wyoming,2010,6.94,6.0
Wyoming,2011,6.13,18.0
Wyoming,2012,5.5,16.0
Wyoming,2013,4.73,17.0
Wyoming,2014,4.34,11.0
